season,team,epa_per_play
2018,LAC,0.04663289605955336
2019,LAC,0.003746405139347278
2020,LAC,-0.02671688375404694
2021,LAC,0.041953585471754776
2022,LAC,-0.014653980871542247
2023,LAC,-0.056199495248270115
2024,LAC,0.0175976637849561
2011,LAR,-0.18227945787632086
2012,LAR,-0.05184253245229273
2013,LAR,-0.03883290956197889
2014,LAR,-0.10286907454231932
2015,LAR,-0.13536096434719688
2016,LAR,-0.15623475268250833
2017,LAR,0.045924434388739305
2018,LAR,0.09116132257517674
2019,LAR,-0.011012853395017846
2020,LAR,-0.03837793682481535
2021,LAR,0.03498539976842184
2022,LAR,-0.076379793461457
2023,LAR,0.008602353980839016
2024,LAR,0.015421223112279354
2011,LVR,0.01848125469964184
2012,LVR,-0.028848501528143455
2013,LVR,-0.05748139324272303
2014,LVR,-0.15105446335006112
2015,LVR,-0.02492173694744444
2016,LVR,0.002868105057143461
2017,LVR,-0.0322253242412822
2018,LVR,-0.06865280271231898
2019,LVR,-0.010606273468300523
2020,LVR,0.04787204743644747
2021,LVR,-0.010449905915745456
2022,LVR,-0.0011231365058224098
2023,LVR,-0.07708883799058378
2024,LVR,-0.1066098287115626
2011,MIA,-0.0221371124684993
2012,MIA,-0.02218899302995819
2013,MIA,-0.020247374774715287
2014,MIA,-0.008824795669015704
2015,MIA,-0.04424002968689953
2016,MIA,-0.0382186240990507
2017,MIA,-0.11087621939686224
2018,MIA,-0.09927345623293567
2019,MIA,-0.07243530831159456
2020,MIA,0.013153519517352174
2021,MIA,-0.059486162214173834
2022,MIA,0.0076916112199966425
2023,MIA,0.055729477084207904
2024,MIA,-0.014734199722423381
2011,MIN,-0.04318843859890445
2012,MIN,0.022263166870850545
2013,MIN,0.011500542097791484
2014,MIN,-0.04123580713287751
2015,MIN,0.013123296055542567
2016,MIN,-0.05469074969404064
2017,MIN,-0.012030865075271865
2018,MIN,-0.09181021082546359
2019,MIN,0.004868359172662066
2020,MIN,0.030085409486853912
2021,MIN,-0.005102672821210007
2022,MIN,-0.007944794843615606
2023,MIN,-0.0480899724626812
2024,MIN,0.007887254268325091
2011,NE,0.17171602369528927
2012,NE,0.14427979610268749
2013,NE,0.08093152414537226
2014,NE,0.085984415101953
2015,NE,0.06049314538277395
2016,NE,0.09362823257569577
2017,NE,0.12667332578932408
2018,NE,0.05980892660892209
2019,NE,-0.01698717617331683
2020,NE,0.009286117842516425
